ID,Image,Mask,Label,
0-100-T01-E02-L01-S07.tif,C:\PIBIC\2022-2023\Datasets\100\Class-0\T01-E02-L01-S07.tif,C:\PIBIC\2022-2023\Datasets\100\Class-0\masks\T01-E02-L01-S07.tif,0,
0-100-T01-E02-L01-S08.tif,C:\PIBIC\2022-2023\Datasets\100\Class-0\T01-E02-L01-S08.tif,C:\PIBIC\2022-2023\Datasets\100\Class-0\masks\T01-E02-L01-S08.tif,0,
0-100-T01-E02-L01-S09.tif,C:\PIBIC\2022-2023\Datasets\100\Class-0\T01-E02-L01-S09.tif,C:\PIBIC\2022-2023\Datasets\100\Class-0\masks\T01-E02-L01-S09.tif,0,
0-100-T01-E02-L01-S10.tif,C:\PIBIC\2022-2023\Datasets\100\Class-0\T01-E02-L01-S10.tif,C:\PIBIC\2022-2023\Datasets\100\Class-0\masks\T01-E02-L01-S10.tif,0,
0-100-T01-E02-L01-S11.tif,C:\PIBIC\2022-2023\Datasets\100\Class-0\T01-E02-L01-S11.tif,C:\PIBIC\2022-2023\Datasets\100\Class-0\masks\T01-E02-L01-S11.tif,0,
0-100-T01-E02-L01-S12.tif,C:\PIBIC\2022-2023\Datasets\100\Class-0\T01-E02-L01-S12.tif,C:\PIBIC\2022-2023\Datasets\100\Class-0\masks\T01-E02-L01-S12.tif,0,
0-100-T01-E02-L02-S06.tif,C:\PIBIC\2022-2023\Datasets\100\Class-0\T01-E02-L02-S06.tif,C:\PIBIC\2022-2023\Datasets\100\Class-0\masks\T01-E02-L02-S06.tif,0,
0-100-T01-E02-L02-S07.tif,C:\PIBIC\2022-2023\Datasets\100\Class-0\T01-E02-L02-S07.tif,C:\PIBIC\2022-2023\Datasets\100\Class-0\masks\T01-E02-L02-S07.tif,0,
0-100-T01-E02-L02-S08.tif,C:\PIBIC\2022-2023\Datasets\100\Class-0\T01-E02-L02-S08.tif,C:\PIBIC\2022-2023\Datasets\100\Class-0\masks\T01-E02-L02-S08.tif,0,
0-100-T01-E02-L02-S09.tif,C:\PIBIC\2022-2023\Datasets\100\Class-0\T01-E02-L02-S09.tif,C:\PIBIC\2022-2023\Datasets\100\Class-0\masks\T01-E02-L02-S09.tif,0,
0-100-T01-E02-L02-S10.tif,C:\PIBIC\2022-2023\Datasets\100\Class-0\T01-E02-L02-S10.tif,C:\PIBIC\2022-2023\Datasets\100\Class-0\masks\T01-E02-L02-S10.tif,0,
0-100-T01-E02-L02-S11.tif,C:\PIBIC\2022-2023\Datasets\100\Class-0\T01-E02-L02-S11.tif,C:\PIBIC\2022-2023\Datasets\100\Class-0\masks\T01-E02-L02-S11.tif,0,
0-100-T01-E02-L03-S06.tif,C:\PIBIC\2022-2023\Datasets\100\Class-0\T01-E02-L03-S06.tif,C:\PIBIC\2022-2023\Datasets\100\Class-0\masks\T01-E02-L03-S06.tif,0,
0-100-T01-E02-L03-S07.tif,C:\PIBIC\2022-2023\Datasets\100\Class-0\T01-E02-L03-S07.tif,C:\PIBIC\2022-2023\Datasets\100\Class-0\masks\T01-E02-L03-S07.tif,0,
0-100-T01-E02-L03-S08.tif,C:\PIBIC\2022-2023\Datasets\100\Class-0\T01-E02-L03-S08.tif,C:\PIBIC\2022-2023\Datasets\100\Class-0\masks\T01-E02-L03-S08.tif,0,
0-100-T01-E02-L03-S09.tif,C:\PIBIC\2022-2023\Datasets\100\Class-0\T01-E02-L03-S09.tif,C:\PIBIC\2022-2023\Datasets\100\Class-0\masks\T01-E02-L03-S09.tif,0,
0-100-T01-E02-L03-S10.tif,C:\PIBIC\2022-2023\Datasets\100\Class-0\T01-E02-L03-S10.tif,C:\PIBIC\2022-2023\Datasets\100\Class-0\masks\T01-E02-L03-S10.tif,0,
0-100-T01-E02-L03-S11.tif,C:\PIBIC\2022-2023\Datasets\100\Class-0\T01-E02-L03-S11.tif,C:\PIBIC\2022-2023\Datasets\100\Class-0\masks\T01-E02-L03-S11.tif,0,
0-100-T01-E02-L04-S07.tif,C:\PIBIC\2022-2023\Datasets\100\Class-0\T01-E02-L04-S07.tif,C:\PIBIC\2022-2023\Datasets\100\Class-0\masks\T01-E02-L04-S07.tif,0,
0-100-T01-E02-L04-S08.tif,C:\PIBIC\2022-2023\Datasets\100\Class-0\T01-E02-L04-S08.tif,C:\PIBIC\2022-2023\Datasets\100\Class-0\masks\T01-E02-L04-S08.tif,0,
0-100-T01-E02-L04-S09.tif,C:\PIBIC\2022-2023\Datasets\100\Class-0\T01-E02-L04-S09.tif,C:\PIBIC\2022-2023\Datasets\100\Class-0\masks\T01-E02-L04-S09.tif,0,
0-100-T01-E02-L04-S10.tif,C:\PIBIC\2022-2023\Datasets\100\Class-0\T01-E02-L04-S10.tif,C:\PIBIC\2022-2023\Datasets\100\Class-0\masks\T01-E02-L04-S10.tif,0,
0-100-T01-E02-L04-S11.tif,C:\PIBIC\2022-2023\Datasets\100\Class-0\T01-E02-L04-S11.tif,C:\PIBIC\2022-2023\Datasets\100\Class-0\masks\T01-E02-L04-S11.tif,0,
